,failure_mode_tm,long_text_notification,clean_text,stop_words_removed,stemmed
726,Worn,06.03.2017 12:03:55 UTC Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP1 tips welded shut   *    Define work requirements; including known materials specialist labour special tools that are required:  10858502 x 1 12-4 for 4 hours   *  nil   *  nil   ,tips welded shut for hours nil nil,tips welded shut hours nil nil,tip weld shut hour nil nil
727,Worn,11.03.2017 03:06:18 UTC Frank Horvat (GRHORF)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):   Payload reading incorrect  *   L/H FRONT SUSPENSION CYLINDER READING TOO HIGH.REPLACE SENSOR Define work requirements; including known materials specialist labour special tools that are required:   1 X FITTER 3HRS  *     *    ,payload reading incorrect front suspension cylinder reading too sensor fitter,payload reading incorrect front suspension cylinder reading sensor fitter,payload read incorrect front suspens cylind read sensor fitter
728,Worn,12.03.2017 02:56:38 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  worn Rp contacts need replacing RP 1 and RP 2 contacts need replacing Also both pivot terminals as well 1 x elect 2 hrs 2 x 10858502 2 x 10879568   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,worn rp contacts need replacing rp and rp contacts need replacing also both pivot terminals as well elect hrs,worn rp contacts need replacing rp rp contacts need replacing also pivot terminals well elect hrs,worn rp contact need replac rp rp contact need replac also pivot termin well elect hrs
730,worn,25.03.2017 09:20:03 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace brushes with self rounding brushes  8 x 10366617 1 x MN15-E02     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace brushes with self rounding brushes,replace brushes self rounding brushes,replac brush self round brush
731,Damaged,12.05.2017 15:07:57 UTC Jeff Dundas (DUNDJ) Phone +61432152858    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Acc. Damage Repairs from Fire   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,damage repairs from fire,damage repairs fire,damag repair fire
737,Worn,17.04.2017 00:03:32 UTC Todd Woolston (WOOLT1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Blower motor flashed over needs to be replaced.    * mn15-E02 6 hours    Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,blower motor flashed over needs to be hours,blower motor flashed needs hours,blower motor flash need hour
738,Worn,18.04.2017 15:03:58 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP contactor tips.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace rp contactor,replace rp contactor,replac rp contactor
739,Worn,12.04.2017 19:20:02 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace contact tips as they are worn.  10858502 x 4  1 x MN15-E02 x 3hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace contact tips as they are,replace contact tips,replac contact tip
740,Failed,21.03.2017 13:50:00 UTC Graeme Hansen (HANSG9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Electric horn U/S    * Notification raised    Define work requirements; including known materials specialist labour special tools that are required: 1 x electrician 4 hrs to repair electric horn Parts needed: 1 x horn - PC0244 1 x contact ass. - XA5621 1 x button - PC1621    *     *      ,electric horn notification raised electrician hrs to repair electric horn parts horn contact button,electric horn notification raised electrician hrs repair electric horn parts horn contact button,electr horn notif rais electrician hrs repair electr horn part horn contact button
741,Worn,18.04.2017 07:07:06 UTC Madison Bishop (BISHM3)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  GRID BLOWER MOTOR 1 COMMUTATOR IN POOR CONDITION. NEEDS TO BE REPLACED.     *  CLEANED UP COMMUTATOR AND REPLACED BRUSHES ENTERED NOTIFICATION   Define work requirements; including known materials specialist labour special tools that are required:  1X ELECTRICIAN 8 HOURS 1X 10369095   *   NIL  *   NIL ,grid blower motor commutator in poor needs to be cleaned up commutator and replaced brushes entered notification electrician hours nil nil,grid blower motor commutator poor needs cleaned commutator replaced brushes entered notification electrician hours nil nil,grid blower motor commut poor need clean commut replac brush enter notif electrician hour nil nil
742,Worn,23.04.2017 13:12:51 UTC Danny Wallace (WALLD92) Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) 4x 10858502 1x e02  *   Define work requirements; including known materials specialist labour special tools that are required   *   *  ,brief description of what occurred basic sequence of events and impacts avoiding the use of personnel brief description of what occurred basic sequence of events and impacts avoiding the use of personnel define work including known materials specialist labour special tools that are required,brief description occurred basic sequence events impacts avoiding use personnel brief description occurred basic sequence events impacts avoiding use personnel define work including known materials specialist labour special tools required,brief descript occur basic sequenc event impact avoid use personnel brief descript occur basic sequenc event impact avoid use personnel defin work includ known materi specialist labour special tool requir
745,Inoperable,28.01.2017 16:47:33 UTC Danny Wallace (WALLD92) Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) The rear tub motor ducting needs replacing and the tub sensor needs replacing when ducting replaced 1x 11012227 1x 10996197 1x 10915560  * notification  Define work requirements; including known materials specialist labour special tools that are required 1x worker 3hrs  * to set sensor need truck running for about 1/2 hr  *  ,brief description of what occurred basic sequence of events and impacts avoiding the use of personnel the rear tub motor ducting needs replacing and the tub sensor needs replacing when ducting replaced notification brief description of what occurred basic sequence of events and impacts avoiding the use of personnel the rear tub motor ducting needs replacing and the tub sensor needs replacing when ducting replaced notification define work including known materials specialist labour special tools that are required worker to set sensor need truck running for about hr,brief description occurred basic sequence events impacts avoiding use personnel rear tub motor ducting needs replacing tub sensor needs replacing ducting replaced notification brief description occurred basic sequence events impacts avoiding use personnel rear tub motor ducting needs replacing tub sensor needs replacing ducting replaced notification define work including known materials specialist labour special tools required worker set sensor need truck running hr,brief descript occur basic sequenc event impact avoid use personnel rear tub motor duct need replac tub sensor need replac duct replac notif brief descript occur basic sequenc event impact avoid use personnel rear tub motor duct need replac tub sensor need replac duct replac notif defin work includ known materi specialist labour special tool requir worker set sensor need truck run hr
749,Failed,30.05.2017 03:29:53 UTC James Bayntun (BAYNJ9) Phone +61749805657  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Reported that the machine is having propel retard faults   *  sent fitter down to investigate fault   Define work requirements; including known materials specialist labour special tools that are required:  1 fitter x 4hrs to investigate repair   *     *     03.06.2017 05:22:01 UTC Reece Robinson (ROBIR9) waited for grids from perth and brisbane fitted parts on 02.06.2017 tetsed and machine went back to work no issue.,reported that the machine is having propel retard faults sent fitter down to investigate fault fitter to investigate repair utc reece robinson waited for grids from perth and brisbane fitted parts on tetsed and machine went back to work no,reported machine propel retard faults sent fitter investigate fault fitter investigate repair utc reece robinson waited grids perth brisbane fitted parts tetsed machine went back work,report machin propel retard fault sent fitter investig fault fitter investig repair utc reec robinson wait grid perth brisban fit part tets machin went back work
750,Failed,30.05.2017 03:29:53 UTC James Bayntun (BAYNJ9) Phone +61749805657  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Reported that the machine is having propel retard faults   *  sent fitter down to investigate fault   Define work requirements; including known materials specialist labour special tools that are required:  1 fitter x 4hrs to investigate repair   *     *     03.06.2017 05:22:01 UTC Reece Robinson (ROBIR9) waited for grids from perth and brisbane fitted parts on 02.06.2017 tetsed and machine went back to work no issue.,reported that the machine is having propel retard faults sent fitter down to investigate fault fitter to investigate repair utc reece robinson waited for grids from perth and brisbane fitted parts on tetsed and machine went back to work no,reported machine propel retard faults sent fitter investigate fault fitter investigate repair utc reece robinson waited grids perth brisbane fitted parts tetsed machine went back work,report machin propel retard fault sent fitter investig fault fitter investig repair utc reec robinson wait grid perth brisban fit part tets machin went back work
753,damaged,13.06.2017 09:21:18 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP contactor tips and arc chutes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace rp contactor tips and arc,replace rp contactor tips arc,replac rp contactor tip arc
754,Worn,02.04.2017 17:00:45 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RH grid brushes next service.  1 x MN15-E02 for 2hrs  8 x 11000648   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace rh grid brushes next for,replace rh grid brushes next,replac rh grid brush next
756,worn,07.05.2017 00:39:31 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace blower motor brushes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace blower motor,replace blower motor,replac blower motor
758,worn,12.05.2017 15:07:57 UTC Jeff Dundas (DUNDJ) Phone +61432152858    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Acc. Damage Repairs from Fire   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,damage repairs from fire,damage repairs fire,damag repair fire
759,worn,12.05.2017 15:07:57 UTC Jeff Dundas (DUNDJ) Phone +61432152858    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Acc. Damage Repairs from Fire   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,damage repairs from fire,damage repairs fire,damag repair fire
760,Inoperable,15.06.2017 07:09:04 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Brake degredation switch has failed. No parts on site. order part PC1678 coming out of mackay 1 x electrician 2 hrs   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,brake degredation switch has no parts on order part coming out of mackay electrician hrs,brake degredation switch parts order part coming mackay electrician hrs,brake degred switch part order part come mackay electrician hrs
761,Failed,16.06.2017 11:15:11 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Horn U/S Relay and fuse both changed. No improvement Fit with new horm assembly - 10859117 1 x f01 x 3 hours    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,horn relay and fuse both no improvement fit with new horm assembly hours,horn relay fuse improvement fit new horm assembly hours,horn relay fuse improv fit new horm assembl hour
766,Fails,16.06.2017 23:34:53 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Accel pedal input erratic propulsion fault. c/o potentiometer.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Elect 2 hr 1 x 10831598 1 x 10891977   *     *      ,accel pedal input erratic propulsion elect hr,accel pedal input erratic propulsion elect hr,accel pedal input errat propuls elect hr
770,Worn,19.04.2017 13:41:34 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace BM1 brushes next service.  1 HV Electrician x 2hrs  11000648 x 8    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace brushes next hv electrician,replace brushes next hv electrician,replac brush next hv electrician
771,failed,03.07.2017 01:30:20 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  DC link charging error need to replace the AFSE 1 x 10369113 1 x electrician 4 hrs   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,dc link charging error need to replace the afse electrician hrs,dc link charging error need replace afse electrician hrs,dc link charg error need replac afs electrician hrs
772,worn,17.05.2017 15:45:50 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace BM brushes. C Crew will change out next week.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace bm crew will change out next,replace bm crew change next,replac bm crew chang next
773,Worn,17.05.2017 15:45:50 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace BM brushes. C Crew will change out next week.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace bm crew will change out next,replace bm crew change next,replac bm crew chang next
774,worn,01.07.2017 05:44:22 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP contactor assy.    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace rp contactor,replace rp contactor,replac rp contactor
775,Failed,01.07.2017 05:44:22 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP contactor assy.    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace rp contactor,replace rp contactor,replac rp contactor
778,Worn,18.05.2017 02:09:57 UTC Danny Wallace (WALLD92) Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) replace tips 2x e02 x 3hrs  *   Define work requirements; including known materials specialist labour special tools that are required   *   *  ,brief description of what occurred basic sequence of events and impacts avoiding the use of personnel replace tips brief description of what occurred basic sequence of events and impacts avoiding the use of personnel replace tips define work including known materials specialist labour special tools that are required,brief description occurred basic sequence events impacts avoiding use personnel replace tips brief description occurred basic sequence events impacts avoiding use personnel replace tips define work including known materials specialist labour special tools required,brief descript occur basic sequenc event impact avoid use personnel replac tip brief descript occur basic sequenc event impact avoid use personnel replac tip defin work includ known materi specialist labour special tool requir
782,Failed,19.07.2017 04:10:42 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Grid blower delta fault the blowers have a different fan due to number on the name plate suspect this is causing an imbalance in current draw between the two blower motors as has occured at another site.    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,grid blower delta fault the blowers have different fan due to number on the name plate suspect this is causing an imbalance in current draw between the two blower motors as has occured at another,grid blower delta fault blowers different fan due number name plate suspect causing imbalance current draw two blower motors occured another,grid blower delta fault blower differ fan due number name plate suspect caus imbal current draw two blower motor occur anoth
785,Worn,30.05.2017 03:29:53 UTC James Bayntun (BAYNJ9) Phone +61749805657  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Reported that the machine is having propel retard faults   *  sent fitter down to investigate fault   Define work requirements; including known materials specialist labour special tools that are required:  1 fitter x 4hrs to investigate repair   *     *     03.06.2017 05:22:01 UTC Reece Robinson (ROBIR9) waited for grids from perth and brisbane fitted parts on 02.06.2017 tetsed and machine went back to work no issue.,reported that the machine is having propel retard faults sent fitter down to investigate fault fitter to investigate repair utc reece robinson waited for grids from perth and brisbane fitted parts on tetsed and machine went back to work no,reported machine propel retard faults sent fitter investigate fault fitter investigate repair utc reece robinson waited grids perth brisbane fitted parts tetsed machine went back work,report machin propel retard fault sent fitter investig fault fitter investig repair utc reec robinson wait grid perth brisban fit part tets machin went back work
786,Worn,30.05.2017 03:29:53 UTC James Bayntun (BAYNJ9) Phone +61749805657  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Reported that the machine is having propel retard faults   *  sent fitter down to investigate fault   Define work requirements; including known materials specialist labour special tools that are required:  1 fitter x 4hrs to investigate repair   *     *     03.06.2017 05:22:01 UTC Reece Robinson (ROBIR9) waited for grids from perth and brisbane fitted parts on 02.06.2017 tetsed and machine went back to work no issue.,reported that the machine is having propel retard faults sent fitter down to investigate fault fitter to investigate repair utc reece robinson waited for grids from perth and brisbane fitted parts on tetsed and machine went back to work no,reported machine propel retard faults sent fitter investigate fault fitter investigate repair utc reece robinson waited grids perth brisbane fitted parts tetsed machine went back work,report machin propel retard fault sent fitter investig fault fitter investig repair utc reec robinson wait grid perth brisban fit part tets machin went back work
787,Worn,13.06.2017 09:21:18 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP contactor tips and arc chutes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace rp contactor tips and arc,replace rp contactor tips arc,replac rp contactor tip arc
789,Worn,16.06.2017 01:42:03 UTC David Brook Brook (BROOD1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     * Machine lost propelltion RP contacts welded together . Replace contacts . 1x HV fitter 2hrs 1x RP contacts 10858502 1x pivot 10879568    Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,machine lost propelltion rp contacts welded together replace contacts hv fitter rp contacts pivot,machine lost propelltion rp contacts welded together replace contacts hv fitter rp contacts pivot,machin lost propellt rp contact weld togeth replac contact hv fitter rp contact pivot
791,Failed,26.07.2017 16:52:56 UTC Steven Gravino (GRAVSA9) Phone +61733298549    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):   ENGINE DERATE  *   RAISED NOTIFICATION  Define work requirements; including known materials specialist labour special tools that are required:   1 X FITTER TO INSPECT FAULT  *     *        27.07.2017 14:57:15 UTC Steven Gravino (GRAVSA9) Phone +61733298549    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      replaced grid blower unit  27.07.2017 16:17:37 UTC Steven Gravino (GRAVSA9) Phone +61733298549    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,engine derate raised notification fitter to inspect fault utc steven gravino phone brief description of what occurred basic sequence of events and impacts avoiding the use of personnel define work including known materials specialist labour special tools that are replaced grid blower unit utc steven gravino phone brief description of what occurred basic sequence of events and impacts avoiding the use of personnel define work including known materials specialist labour special tools that are,engine derate raised notification fitter inspect fault utc steven gravino phone brief description occurred basic sequence events impacts avoiding use personnel define work including known materials specialist labour special tools replaced grid blower unit utc steven gravino phone brief description occurred basic sequence events impacts avoiding use personnel define work including known materials specialist labour special tools,engin derat rais notif fitter inspect fault utc steven gravino phone brief descript occur basic sequenc event impact avoid use personnel defin work includ known materi specialist labour special tool replac grid blower unit utc steven gravino phone brief descript occur basic sequenc event impact avoid use personnel defin work includ known materi specialist labour special tool
796,Worn,30.06.2017 00:22:47 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP contactor tips    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace rp contactor tips,replace rp contactor tips,replac rp contactor tip
798,Worn,11.07.2017 11:00:54 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  A/C system compressor seized. May have been caused by system leakage. We have a new compressor and accumulator in WS2 stock. Only require a drier. 1 x fitter 6 hrs 1 x drier 10858548     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,system compressor may have been caused by system we have new compressor and accumulator in only require fitter hrs drier,system compressor may caused system new compressor accumulator require fitter hrs drier,system compressor may caus system new compressor accumul requir fitter hrs drier
800,Failed,28.07.2017 20:49:58 UTC Justin Shaw (SHAWJ92) Phone +61409723904    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Blower fault active electricians sent to investigate fault    * Notification raised    Define work requirements; including known materials specialist labour special tools that are required: 2x electricians    *     *      ,blower fault active electricians sent to investigate fault notification raised electricians,blower fault active electricians sent investigate fault notification raised electricians,blower fault activ electrician sent investig fault notif rais electrician
801,Failed,28.07.2017 20:49:58 UTC Justin Shaw (SHAWJ92) Phone +61409723904    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Blower fault active electricians sent to investigate fault    * Notification raised    Define work requirements; including known materials specialist labour special tools that are required: 2x electricians    *     *      ,blower fault active electricians sent to investigate fault notification raised electricians,blower fault active electricians sent investigate fault notification raised electricians,blower fault activ electrician sent investig fault notif rais electrician
802,Failed,28.07.2017 08:49:21 UTC Steve Partington (PARTS91) Phone +49404167    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): brakes not operating correctly    *     Define work requirements; including known materials specialist labour special tools that are required:  dual relay valve needs replacing   *   will need brake test after  *    ,brakes not operating correctly dual relay valve needs replacing will need brake test after,brakes operating correctly dual relay valve needs replacing need brake test,brake oper correct dual relay valv need replac need brake test
808,worn,19.07.2017 02:46:30 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Repair grease leak on injector bank above LH steer cylinder.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *     19.07.2017 05:02:45 UTC Corey Oliver (OLIVC91) Phone +61407754106     Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  MN15-F01 x 3hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,repair grease leak on injector bank above lh steer utc corey oliver phone brief description of what occurred basic sequence of events and impacts avoiding the use of personnel define work including known materials specialist labour special tools that are,repair grease leak injector bank lh steer utc corey oliver phone brief description occurred basic sequence events impacts avoiding use personnel define work including known materials specialist labour special tools,repair greas leak injector bank lh steer utc corey oliv phone brief descript occur basic sequenc event impact avoid use personnel defin work includ known materi specialist labour special tool
809,Worn,19.07.2017 02:46:30 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Repair grease leak on injector bank above LH steer cylinder.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *     19.07.2017 05:02:45 UTC Corey Oliver (OLIVC91) Phone +61407754106     Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  MN15-F01 x 3hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,repair grease leak on injector bank above lh steer utc corey oliver phone brief description of what occurred basic sequence of events and impacts avoiding the use of personnel define work including known materials specialist labour special tools that are,repair grease leak injector bank lh steer utc corey oliver phone brief description occurred basic sequence events impacts avoiding use personnel define work including known materials specialist labour special tools,repair greas leak injector bank lh steer utc corey oliv phone brief descript occur basic sequenc event impact avoid use personnel defin work includ known materi specialist labour special tool
810,Worn,23.07.2017 00:15:23 UTC Justin Shaw (SHAWJ92) Phone +61409723904    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Operator reported blower fault electrician sent to investigate    *     Define work requirements; including known materials specialist labour special tools that are required: one electrician 4hrs    *     *       24.07.2017 03:03:43 UTC James Bayntun (BAYNJ9) Phone +61749805657 Replaced brushes tested all OK sent machine back to work,operator reported blower fault electrician sent to investigate one electrician utc james bayntun phone replaced brushes tested all ok sent machine back to work,operator reported blower fault electrician sent investigate one electrician utc james bayntun phone replaced brushes tested ok sent machine back work,oper report blower fault electrician sent investig one electrician utc jame bayntun phone replac brush test ok sent machin back work
811,worn,23.07.2017 00:15:23 UTC Justin Shaw (SHAWJ92) Phone +61409723904    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Operator reported blower fault electrician sent to investigate    *     Define work requirements; including known materials specialist labour special tools that are required: one electrician 4hrs    *     *       24.07.2017 03:03:43 UTC James Bayntun (BAYNJ9) Phone +61749805657 Replaced brushes tested all OK sent machine back to work,operator reported blower fault electrician sent to investigate one electrician utc james bayntun phone replaced brushes tested all ok sent machine back to work,operator reported blower fault electrician sent investigate one electrician utc james bayntun phone replaced brushes tested ok sent machine back work,oper report blower fault electrician sent investig one electrician utc jame bayntun phone replac brush test ok sent machin back work
814,Worn,25.07.2017 09:43:00 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP 1 tips down to copper. C/O Immediatley.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x 10858502 Tip kit 1 x 10879568 Terminal   *     *    ,rp tips down to tip kit terminal,rp tips tip kit terminal,rp tip tip kit termin
815,worn,25.07.2017 13:14:10 UTC Ian Hansen (HANSI9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  ENGINE DERATE   *  CREATED NOTIFICATION   Define work requirements; including known materials specialist labour special tools that are required:  1X FITTER 6X HRS   *  NILL   *       26.07.2017 01:31:27 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333 Attended breakdown and found there to be a grid blower delta fault. Diagnosed BM2 to be drawing more current the BM1 under normal operating conditions. Inspected and found the commutator to be slightly burnt with stall marks and a bit of copper drag. Cleaned copper drag and installed SRB brushes in position 3 4 to help clean up the commutator.   27.07.2017 00:30:39 UTC James Bayntun (BAYNJ9) Phone +61749805657 See WO432986369 for more history parts,engine derate created notification fitter hrs nill utc jamie rayner phone attended breakdown and found there to be grid blower delta diagnosed to be drawing more current the under normal operating inspected and found the commutator to be slightly burnt with stall marks and bit of copper cleaned copper drag and installed srb brushes in position to help clean up the utc james bayntun phone see for more history parts,engine derate created notification fitter hrs nill utc jamie rayner phone attended breakdown found grid blower delta diagnosed drawing current normal operating inspected found commutator slightly burnt stall marks bit copper cleaned copper drag installed srb brushes position help clean utc james bayntun phone see history parts,engin derat creat notif fitter hrs nill utc jami rayner phone attend breakdown found grid blower delta diagnos draw current normal oper inspect found commut slight burnt stall mark bit copper clean copper drag instal srb brush posit help clean utc jame bayntun phone see histori part
817,Failed,22.08.2017 13:46:46 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  No Propel no alarms. Operator isolated truck and returned to go line. Checked both TCI PSC events and found 5 v out of limits in both checked data packs and found 5v supply dropping down to 4.68v then both cpu cards logging cpu reset and comms fault. C/O power supply.    *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Elect 2 hr\ 1 x 10517030 power supply   *     *     22.08.2017 13:50:51 UTC Mark Harris (HARRMQ9) Phone +17130000001 Replace CPU Card 1 x Electrician 2hours 1 x 10517030 Power supply 22.08.2017 17:02:24 UTC Mitchell Thorning (THORMC9) C/O power supply checked analogue inputs on PSC all spot on.,no propel no operator isolated truck and returned to go checked both tci psc events and found out of limits in both checked data packs and found supply dropping down to then both cpu cards logging cpu reset and comms power elect power supply utc mark harris phone replace cpu card electrician power supply utc mitchell thorning power supply checked analogue inputs on psc all spot,propel operator isolated truck returned go checked tci psc events found limits checked data packs found supply dropping cpu cards logging cpu reset comms power elect power supply utc mark harris phone replace cpu card electrician power supply utc mitchell thorning power supply checked analogue inputs psc spot,propel oper isol truck return go check tci psc event found limit check data pack found suppli drop cpu card log cpu reset comm power elect power suppli utc mark harri phone replac cpu card electrician power suppli utc mitchel thorn power suppli check analogu input psc spot
818,worn,25.07.2017 11:17:35 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Checked RH blowe rbrushes some worn short 32mm some 37ish. C/O all brushes now to save doing some now and some in 8 weeks.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Elect 3 hr 8 x 10366692 Brush 2 x 10366617 SRB   *     *    ,checked rh blowe rbrushes some worn short some all brushes now to save doing some now and some in elect hr brush srb,checked rh blowe rbrushes worn short brushes save elect hr brush srb,check rh blow rbrush worn short brush save elect hr brush srb
819,Failed,17.08.2017 18:22:28 UTC Todd Woolston (WOOLT1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): A351 fault brake comand    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,fault brake comand,fault brake comand,fault brake comand
